id,age,zodiac,symbol,start_year,end_year,genesis_day,url,summary
age-of-capricorn,Age of Capricorn,Capricorn,♑,-21810,-19650,1,https://www.wheelofheaven.world/timeline/age-of-capricorn/,"The first age of the Great Year, when the Elohim scientists arrived at a formless, water-covered Earth, surveyed it from orbit, and laid the groundwork for a multi-millennial project of creation."
age-of-sagittarius,Age of Sagittarius,Sagittarius,♐,-19650,-17490,2,https://www.wheelofheaven.world/timeline/age-of-sagittarius/,"The second age of the Great Year, when the Elohim separated the atmospheric waters from the ocean, cleared the sky, and raised the first continent from the seabed."
age-of-scorpio,Age of Scorpio,Scorpio,♏,-17490,-15330,3,https://www.wheelofheaven.world/timeline/age-of-scorpio/,"The third age of the Great Year, when the first life appears on Earth — plant cells synthesized from chemistry, designed by teams of scientists and artists, establishing the foundation of the biosphere."
age-of-libra,Age of Libra,Libra,♎,-15330,-13170,4,https://www.wheelofheaven.world/timeline/age-of-libra/,"The fourth age of the Great Year, when the Elohim formalize their relationship to the sky — calibrating local time, mapping the constellations, and building the astronomical infrastructure the project requires."
age-of-virgo,Age of Virgo,Virgo,♍,-13170,-11010,5,https://www.wheelofheaven.world/timeline/age-of-virgo/,"The fifth age of the Great Year, when the first animal life appears — fish in the ocean, birds in the air, and the great tanninim (dragons/dinosaurs) on the land, establishing the moving world."
age-of-leo,Age of Leo,Leo,♌,-11010,-8850,6,https://www.wheelofheaven.world/timeline/age-of-leo/,"The sixth age of the Great Year, when the creation program reaches its culmination — land animals, then human beings made in the image of their makers by seven factional teams, and the founding of the Garden of Eden."
age-of-cancer,Age of Cancer,Cancer,♋,-8850,-6690,7,https://www.wheelofheaven.world/timeline/age-of-cancer/,"The seventh age of the Great Year — the Day of Rest and its consequences. The Eden expulsion, Cain and Abel, the exiled creators mating with human women, the Nephilim, and the rise of a pre-flood civilization that will alarm the home world."
age-of-gemini,Age of Gemini,Gemini,♊,-6690,-4530,8,https://www.wheelofheaven.world/timeline/age-of-gemini/,"The eighth age of the Great Year — the flood, the ark in orbit, the shattering of the supercontinent, the Noahic covenant as a formal alliance between exiled creators and human survivors, the Tower of Babel, and the war in heaven."
age-of-taurus,Age of Taurus,Taurus,♉,-4530,-2370,,https://www.wheelofheaven.world/timeline/age-of-taurus/,"The ninth age of the Great Year — the pardon of the exiled creators, the rise of the post-flood civilizations, the vengeance movement at Sodom and Gomorrah, the Dead Sea as crater, Abraham's loyalty test, and the worldwide bull-cult."
age-of-aries,Age of Aries,Aries,♈,-2370,-210,,https://www.wheelofheaven.world/timeline/age-of-aries/,"The tenth age of the Great Year — Moses, the Exodus, the Law at Sinai, the horns of the ram-age prophet, the conquest of Canaan, the prophetic tradition, the Hebrews' failure to spread the message, the Council's cultivation of Persia and Greece, and the worldwide Axial Age preparation for Pisces."
age-of-pisces,Age of Pisces,Pisces,♓,-210,1950,,https://www.wheelofheaven.world/timeline/age-of-pisces/,"The eleventh age of the Great Year — Jesus as alliance project, the fish-and-virgin doubled signature, Islam and the question of Petra, the medieval synthesis across all civilizations, the scientific revolution, and the late-Piscean prophetic movements preparing for Aquarius."
age-of-aquarius,Age of Aquarius,Aquarius,♒,1950,4110,,https://www.wheelofheaven.world/timeline/age-of-aquarius/,"The twelfth and current age of the Great Year — the age of revelation, in which the accumulated content of all previous ages becomes legible to a humanity at last equipped to understand it. The 1946 threshold, the 1973 contact, the embassy project, the Golden Age, and humanity's eventual participation in the creation cycle."
