id,tradition,period,founder,authenticity,principal_content,woh_wiki
ra-lism,Raëlism,1973–present,Claude Vorilhon (Raël),Canonical,Direct first-person contact narrative; Elohim creation account; cosmic-chain doctrine; embassy project,https://www.wheelofheaven.world/wiki/raelism/
eckankar,Eckankar,1965–present,Paul Twitchell,Unlikely,Soul-travel doctrine; eclectic syncretism drawing on Sant Mat,
wicca,Wicca,1953–present,Gerald Gardner,Unlikely,Reconstructed nature religion; goddess theology; horned-god theology,
caodism-o-cao-i,Caodism (Đạo Cao Đài),1921–present,Ngô Văn Chiêu,Highly likely,Syncretism of Eastern and Western religions; spirit-communication narratives; supreme-being doctrine,https://www.wheelofheaven.world/wiki/caodism/
thelema,Thelema,1900–present,Aleister Crowley,Highly unlikely,"The Book of the Law (1904); Cairo working; Aiwass-contact narrative; ""do what thou wilt"" ethics",
moto,Ōmoto (大本),1892–present,Nao Deguchi (出口 なお),Highly likely,Spirit possession; transformation-of-the-world doctrine; influence on subsequent Japanese new religions,
tenriky,Tenrikyō (天理教),1838–present,Nakayama Miki (中山 みき),Highly likely,Direct contact with Oyagami (God the Parent); world-renewal doctrine; Ofudesaki scripture,
mormonism-lds,Mormonism (LDS),1830–present,Joseph Smith,Canonical,Angel-Moroni contact narrative; tangible-gods theology; exoplanet content (Kolob); plurality-of-worlds doctrine,https://www.wheelofheaven.world/wiki/mormonism/
bah-faith,Bahá'í Faith,1844–present,The Báb; Bahá'u'lláh; 'Abdu'l-Bahá,Highly likely,Progressive revelation doctrine; unity of religions; world-government doctrine,
sikhism,Sikhism,15th c. CE–present,Guru Nanak,Likely,Monotheism; divine name; ten-guru lineage; Guru Granth Sahib,https://www.wheelofheaven.world/wiki/sikhism/
islam,Islam,7th c. CE–present,Muhammad,Canonical,Quranic revelation; Gabriel-contact narrative; eschatological doctrine; final-prophet doctrine,https://www.wheelofheaven.world/wiki/islam/
christianity,Christianity,1st c. CE–present,Jesus of Nazareth; the apostles,Canonical,Incarnation; resurrection; Second Coming doctrine; apocalyptic literature; Trinity doctrine,https://www.wheelofheaven.world/wiki/christianity/
manichaeism,Manichaeism,3rd–14th c. CE,Mani,Highly likely,Dualism; light–darkness cosmology; world-religions-synthesis doctrine; once a world religion in its own right,
mithraism,Mithraism,1st c. BCE–4th c. CE,—,Likely,Roman mystery religion; Mithras as solar-bull-slayer; seven-grade initiation; possible Iranian roots,
hermeticism,Hermeticism,1st c. BCE onward,(Hermes Trismegistus; pseudepigraphic),Likely,Corpus Hermeticum; cosmic-correspondence doctrine; Emerald Tablet; foundational for Western esotericism,
gnosticism-sethian-valentinian-etc,"Gnosticism (Sethian, Valentinian, etc.)",1st–4th c. CE,Various,Likely,Demiurge theology; Elohim-as-archons readings; pneumatic anthropology; substantial textual corpus (Nag Hammadi),
